Material-ID,Chemical_Formula,Temp_critical
S-10845,Nb0.73Al0.255Si0.015,18.7
S-7967,Nb0.747Al0.239Si0.014,18
S-2780,Nb0.758Al0.174Ge0.069,19.7
S-8987,Nb0.75Al0.02Ge0.05,19.8
S-14599,Nb0.75Al0.15Si0.1,15.4
S-15886,Nb0.75Al0.16Ga0.09,19.45
S-1887,Nb0.75Al0.16Ge0.09,19.7
S-2201,Nb3Al0.7Ge0.3,18.9
S-12824,Nb0.75Al0.178Ge0.072,20.1
S-3589,Nb0.75Al0.17Ge0.08,19.8
S-511,Nb0.75Al0.185Ge0.065,20.26
S-8876,Nb0.75Al0.18Ge0.07,19.85
S-5680,Nb3Al0.76Ge0.24,20.32
S-6302,Nb0.75Al0.21Ge0.04,19.85
S-8183,Nb0.75Al0.225Ge0.025,18.88
S-5983,Nb0.75Al0.225Si0.025,16.4
S-4084,Nb0.75Al0.23Ge0.02,19.55
S-1066,Al0.8Ge0.2Nb3,18.76
S-4851,Nb0.75Al0.2Si0.05,15.4
S-7706,Nb0.75Mg0.25B2,4.5
S-4517,Nb0.75Mo0.25C1,12
S-12423,Nb0.75Ti0.15Zr0.1,9.7
S-7305,Nb0.75Ti0.25,10.02
S-11741,Nb0.75Ti0.25N0.94,16.1
S-16102,Nb0.75W0.25C1,13.1
S-7785,Nb0.75Zr0.25,10.77
S-5140,Nb0.768Al0.146Ge0.086,17.4
S-16341,Nb0.76Al0.18Ge0.06,17.88
S-15649,Nb0.76Fe1.61Se0.96S1.04,18
S-6321,Nb0.76Pd0.24,1.9
S-16167,Nb0.76Sn0.74,18.1
S-8572,Nb0.78Al0.165Ge0.055,20.29
S-11633,Nb0.79Al0.164Ga0.057,20.7
S-6647,Nb0.79Al0.16Ge0.05,21
S-7235,Nb0.79Si0.21,9.3
S-8495,Nb0.7Fe1.55Se1.01S0.99,23.5
S-9687,Nb0.7Ta0.3,6.98
S-6613,Nb0.7Ti0.3,10.1
S-9329,Nb0.7W0.3C1,13.2
S-9786,Nb0.7Zr0.3,10.8
S-13145,Nb0.803Ta0.197,7.85
S-2805,Nb0.83Pd0.17,2.2
S-14013,Nb0.83Sb0.17,1.95
S-5020,Nb0.84S0.16,5.6
S-11333,Nb0.85Hf0.15N0.94,12.3
S-13191,Nb0.85Mo0.15C1,12.7
S-11065,Nb0.85Pd0.15,2.26
S-4294,Nb0.85Rh0.15,3
S-11532,Nb0.85Rh1.15,3
S-3387,Nb0.85Ta0.15,8.08
S-4556,Nb0.85V0.15,6
S-16375,Nb0.85V0.15N0.92,3.88
S-1183,Nb0.85W0.15,5.32
S-4272,Nb0.85Zr0.15,10.8
S-12811,Nb0.85Zr0.15N1,13.7
S-9591,Nb0.86Rh1.04,3.76
S-15371,Nb0.87Si0.09N0.13O0.13,16.8
S-14775,Nb0.87Si0.09N0.87O0.13,16.35
S-2370,Nb0.87Ta0.13,8.15
S-5687,Nb0.88V0.12,5.7
S-11777,Nb0.89Al0.11N0.84O0.16,16.7
S-13475,Nb0.89Al0.11N0.85O0.17,17.3
S-2012,Nb0.8Ga0.13Ni0.07,8.1
S-14035,Nb0.8Ga0.14Cr0.06,8.6
S-1621,Nb0.8Ga0.14Ni0.06,8.7
S-8492,Nb0.8Ga0.15Cr0.05,9.7
S-3677,Nb0.8Ga0.15Ni0.05,9.4
S-14234,Nb0.8Ga0.16Cr0.04,10.6
S-11095,Nb0.8Ga0.16Ni0.04,10.6
S-2772,Nb0.8Ga0.17Cr0.03,11.5
S-8363,Nb0.8Ga0.17Ni0.03,11.8
S-2216,Nb0.8Ga0.18Cr0.02,13.1
S-15206,Nb0.8Ga0.18Ni0.02,12.4
S-1118,Nb0.8Ga0.195Cr0.005,14.9
S-6344,Nb0.8Ga0.19Cr0.01,13.6
S-15359,Nb0.8Ga0.19Ni0.01,14.1
S-709,Nb0.8Pd0.2,1.98
S-2018,Nb0.8Ru0.2,4.8
S-4747,Nb0.8Ta0.2,7.62
S-112,Nb0.8V0.2,5.76
S-14303,Nb0.8W0.2,4.68
S-9448,Nb0.8W0.2C1,13.2
S-1353,Nb0.8Zr0.2,10.9
S-9086,Nb0.925Ru0.075,4.2
S-11511,Nb0.92Hf0.08N0.93,13.7
S-1916,Nb0.92Sn0.08,5.6
S-15992,Nb0.92Ta0.71,4.94
S-14781,Nb0.92Ti0.08N0.93,15.2
S-10763,Nb0.938Ta0.062,8.42
S-8491,Nb0.93Tc0.07,7
S-456,Nb0.94Ta0.06,8.76
S-7877,Nb0.957Ta0.043,8.55
S-13437,Nb0.95Mg0.05N0.92O0.08,16.53
S-661,Nb0.95Mo0.05C1,12.1
S-15584,Nb0.95Ti0.05,9.41
S-9506,Nb0.95V0.05N0.85,7.12
S-9277,Nb0.95W0.05,7.25
S-16411,Nb0.96Ta0.04,8.87
S-3679,Nb0.96Ti0.04N0.9,13.8
S-3092,Cr0.03N1Nb0.97,1.2
S-2795,Nb0.97Tc0.03,7.6
S-5808,Nb0.984Ta0.016,8.76
S-1232,Nb0.98Ta0.02,9.02
S-13879,Nb0.98Y0.02,9.26
S-2424,Nb0.991Ta0.009,8.87
S-76,Nb0.995Ta0.005,9.226
S-8719,Nb0.999Y0.001,9.27
S-1495,Nb0.99Cr0.01N1,1.2
S-7522,Nb0.99Ta0.01,9.079
S-5311,Nb0.9Mg0.1B2,4.5
S-7043,Nb0.9Mo2.1Al1,2.73
S-11899,Nb0.9Pd0.1,3.42
S-7664,Nb0.9Pt0.1,2.5
S-1796,Nb0.9Re0.1,4.5
S-15461,Nb0.9Rh0.1,2.8
S-158,Nb0.9Ru0.1,2.8
S-5270,Nb0.9Ta0.1,8.4
S-408,Nb0.9Ti0.1,9.61
S-16405,Nb0.9V0.1,6.95
S-4255,Nb0.9W0.1C1,11.6
S-15878,Nb0.9Zr0.1,10.7
S-9041,Nb1,9.04
S-12842,Nb1.01Se2,7.05
S-7815,Nb1.02Se2,6.75
S-7441,Nb1.05Se2,4.86
S-9239,Nb1.2Mo1.8Al1,4.2
S-10278,Nb1.5Mo1.5Al1,4.9
S-6582,Nb1.71V1.29Au1,1.6
S-7905,Nb1.8Ta1.2Sn1,14.1
S-12490,Nb13.75Ta41.25Ir45,3.315
S-3788,Nb13.75Ta41.25Rh45,3.56
S-12833,Nb15Ti75Ta10,6.7
S-9530,Nb1B0.2Rh3,6.4
S-10698,Nb1C0.28N0.78,17.9
S-7655,Nb1C0.2N0.64,16.3
S-967,Nb1C0.2N0.7,17.2
S-46,Nb1C0.2N0.74,17.5
S-11922,Nb1C0.2N0.8,17.6
S-7007,Nb1C0.3N0.57,16.4
S-8242,Nb1C0.3N0.62,17.3
S-9257,Nb1C0.3N0.64,17.8
S-7033,Nb1C0.3N0.7,17.75
S-12079,Nb1C0.5N0.36,15.6
S-11779,Nb1C0.5N0.42,17
S-999,Nb1C0.5N0.47,17.4
S-4641,Nb1C0.5N0.5,17.9
S-3549,Nb1C0.5Ni0.5,17.3
S-16129,Nb1C0.9N0.1,16.97
S-11119,Nb1C1N1,16.52
S-6260,Nb1N0.87O0.13,17.2
S-3340,Nb1N0.98O0.02,17.7
S-11227,Nb1N0.9O0.02,14.7
S-1449,Nb1N1.08O0.27,12.8
S-9940,Nb1N1.22O0.18,12.3
S-13470,Nb1N1.25O0.25,11.9
S-11507,Nb1N1.34O0.27,11.3
S-12120,Nb1O1,1.38
S-12313,Nb1Os2,2.59
S-15487,Nb1P1S1,12.5
S-8924,Nb1Pt1Si1,1.24
S-4191,Nb1Re1Si1,5.1
S-1722,Nb1Re3,6.01
S-4393,Nb1Rh1P1,4.31
S-12118,Nb1Ru1Si1,2.65
S-13388,Nb1Ru3,13.5
S-1299,Nb1S0.899,3.83
S-13052,Nb1S1.06,3.3
S-16134,Nb1S2,5.87
S-5217,Nb1Se0.25Te0.75,4.4
S-8046,Nb1Se2,6.62
S-12800,Nb1Se2.2,6.57
S-14649,Nb1Se3,3.43
S-6129,Nb1Si1As1,8.2
S-12253,Nb1Sn2,2.64
S-15176,NbSn3,18
S-9939,Nb1Tc3,10.5
S-7754,Nb1Te2,1.6
S-13453,Nb1V50Ti49,7.5
S-2798,Nb2.01V0.99Au1,2.9
S-15492,Nb2.1Mo0.9Al1,8.3
S-8825,Nb2.1Ta0.9Sn1,16
S-749,Nb2.1Zr0.9Sn1,17.7
S-13830,Nb2.25V0.75Au1,3
S-807,Nb2.34Zr0.66Sn1,17.7
S-8570,Nb2.49V0.51Au1,4.6
S-7502,Nb2.4Ta0.6Sn1,17.3
S-6589,Nb2.55Ti0.45Sn1,15.6
S-3799,Nb2.55V0.45Al1,14
S-12681,Nb2.55V0.45Au1,5.1
S-13871,Nb2.55V0.45Sn1,15
S-2067,Nb2.55Zr0.45Sn1,17.9
S-13357,Nb2.58Ti0.42Al1,9
S-13158,Nb2.64Ta0.36Al1,14.5
S-15849,Nb2.706V0.294Al1,15.6
S-8881,Nb2.739Ta0.261Al1,15.4
S-3504,Nb2.73Ti0.27Al1,11.5
S-4065,Nb2.75Ta0.25Sn1,17.8
S-13928,Nb2.775Mo0.225Al1,13.8
S-1122,Nb2.778Ti0.222Al1,13
S-15882,Nb2.7Mo0.3Al1,11.85
S-9033,Nb2.7Ta0.3Sn1,18
S-180,Nb2.7Ti0.3Sn1,16.4
S-16343,Nb2.7V0.3Sn1,15.9
S-6020,Nb2.7Zr0.3Sn1,18.1
S-8958,Nb2.859V0.141Al1,17.2
S-5470,Nb2.859Zr0.141Al1,13.6
S-157,Nb2.85Hf0.15Al1,14.4
S-7647,Nb2.85Mo0.15Al1,14.45
S-14566,Nb2.85Ta0.15Al1,16.8
S-2974,Nb2.85Ta0.15Sn1,18.3
S-14585,Nb2.85Ti0.15Sn1,17.9
S-11519,Nb2.85V0.15Au1,8.4
S-3661,Nb2.85V0.15Sn1,17.1
S-7216,Nb2.85W0.15Al1,15.2
S-889,Nb2.85Zr0.15Sn1,18.1
S-9545,Nb2.88Ti0.12Al1,15
S-449,Nb2.895W0.105Al1,16
S-3674,Nb2.9175Ti0.0825Al1,16
S-1068,Nb2.919Hf0.081Al1,16.5
S-4484,Nb2.91Zr0.09Al1,14.6
S-7593,Nb2.927Zr0.073Al1,14.8
S-13584,Nb2.934V0.066Sn1,17.7
S-3290,Nb2.94Ta0.06Al1,17.7
S-16091,Nb2.94W0.06Al1,17.2
S-14219,Nb2.96Al0.7592Ge0.3224,19.8
S-7132,Nb2.973Zr0.027Al1,16.6
S-8178,Nb2.976Ti0.024Al1,17.7
S-9916,Nb2.97W0.03Al1,18
S-3313,Nb0.7425Zr0.0075Al0.25,17.4
S-201,Nb2.985Hf0.015Al1,18
S-15497,Nb2.9925Zr0.0075Al1,17.6
S-4612,Nb2.9V0.3Au1,6.5
S-838,Nb20Ti75Ta5,7.1
S-15279,Nb24Ti75Ta1,7.4
S-15602,Nb25Ti10Zr65,7.5
S-8704,Nb25Ti20Zr55,7.5
S-15355,Nb25Ti30Zr45,7.7
S-11877,Nb25Ti40Zr35,7.7
S-14283,Nb25Ti50Mo25,4.3
S-7273,Nb25Ti50Ta25,8.6
S-8132,Nb25Ti50Zr25,7.2
S-15963,Nb25Ti65Mo10,6.8
S-12718,Nb25Ti65Ta10,8.4
S-1456,Nb25Ti65Zr10,7.7
S-14959,Nb25Ti70Mo5,7.4
S-11489,Nb25Ti70Ta5,7.85
S-3740,Nb25Ti70Zr5,7.5
S-6665,Nb25Ti74Mo1,7.3
S-283,Nb25Ti74Ta1,7.55
S-10271,Nb25Ti74Zr1,7.4
S-211,Nb25Ti75,7.25
S-6008,Nb25V10Ti65,8
S-7763,Nb25V25Ti50,7.3
S-10428,Nb25V5Ti70,7.7
S-8984,Nb0.25Zr0.75,8.91
S-15059,Nb27.5Ta27.5Ir45,3.935
S-6372,Nb27.5Ta27.5Rh45,3.965
S-4337,Nb2As1C1,2
S-10593,Nb2B1N1,4.4
S-324,Nb2In1C1,7.5
S-564,Nb2Pd0.67Se5,1.2
S-4288,Nb2Pd0.81S5,6.6
S-7982,Nb2Pd1S3.5Se1.5,1.87
S-5541,Nb2Pd1S3.75Se1.25,2.23
S-11429,Nb2Pd1S3Se2,1.17
S-1702,Nb2Pd1S4.25Se0.75,3.18
S-7767,Nb2Pd1S4.5Se0.5,4.27
S-8497,Nb2Pd1S4Se1,2.76
S-12114,Nb2Pd1S5,6.17
S-11672,Nb2S1C0.82,4.43
S-4432,Nb2S1C0.85,4.68
S-1909,Nb2S1C0.9,5
S-1017,Nb2S2C1,7.6
S-8696,Nb2Se2,6.9
S-870,Nb2Se3,2.3
S-4434,Nb2Sn1C1,5.9
S-7290,Nb3.05Al0.7125Ge0.19,17.9
S-6928,Nb3.07Al0.5859Ge0.279,17.4
S-7978,Nb3.2Al0.24Ge0.4,10.2
S-9425,Nb3Al0.15Ge0.85,7.4
S-14769,Nb3Al0.39Ge0.61,7.3
S-1827,Nb3Al0.3Ge0.7,9.1
S-15430,Nb3Al0.55Ge0.45,11.7
S-3551,Nb3Ga0.5Al0.5,18.7
S-8395,Nb3Al0.5Zn0.5,16
S-11352,Nb3Al0.62Ge0.38,17.2
S-7831,Nb3Al0.66Ge0.34,20.4
S-13507,Nb3Al0.67Ga0.33,18.7
S-16329,Nb3Al0.67In0.33,16
S-3414,Nb3Al0.67Zn0.33,17.3
S-8397,Nb3Al0.6Ge0.4,19.7
S-11603,Nb3Al0.71Ge0.29,20.7
S-9133,Nb3Al0.75Ga0.3,19.1
S-989,Nb3Al0.75Ge0.25,20
S-11784,Nb3Al0.7Be0.3,14
S-4581,Nb3Al0.81Ge0.19,17.6
S-8605,Nb3Al0.83Ge0.17,19.6
S-2535,Nb3Al0.8B0.2,17.8
S-1832,Nb3Al0.8Be0.2,17
S-15798,Nb3Al0.8In0.2,18.1
S-13535,Nb3Al0.8Zn0.2,17.7
S-16123,Nb3Al0.907Ga0.093,19.1
S-5274,Nb3Al0.91Ge0.09,19.8
S-14338,Nb3Al0.924Se0.076,17.6
S-5527,Nb3Al0.927Ga0.073,19.2
S-7583,Nb3Al0.935Si0.065,18.4
S-15372,Nb3Al0.93Ge0.07,20
S-5032,Nb3Al0.945Si0.055,18.4
S-7091,Nb3Al0.94Ge0.06,20
S-4292,Nb3Al0.94Se0.06,17.8
S-7294,Nb3Al0.952Se0.048,18
S-14106,Nb3Al0.956Si0.044,18.5
S-10125,Nb3Al0.95Ga0.05,19.2
S-1766,Nb3Al0.95Ge0.05,20
S-3187,Nb3Al0.964Si0.036,18.4
S-11933,Nb3Al0.967Ga0.033,19
S-3987,Nb3Al0.967Se0.033,18.1
S-1011,Nb3Al0.96Ge0.04,19.8
S-11027,Nb3Al0.975Si0.025,18.5
S-12342,Nb3Al0.97Ge0.03,19.6
S-5666,Nb3Al0.983Ga0.017,18.8
S-9338,Nb3Al0.985Si0.015,18.6
S-4465,Nb3Al0.98Ge0.02,19.3
S-14330,Nb3Al0.98Se0.02,18.4
S-15446,Nb3Al0.991Ge0.009,19
S-12489,Nb3Al0.9B0.1,19.8
S-2912,Nb3Al0.9Be0.1,19.8
S-9572,Nb3Al0.9In0.1,18.3
S-1903,Nb3Al0.9Se0.1,17.6
S-11294,Nb3Al0.9Zn0.1,18.1
S-13050,Nb3As0.05Sn0.95,18.19
S-875,Au0.7Nb3Pt0.3,11.87
S-3285,Nb3Ga0.05Sn0.95,18.3
S-6240,Nb3Ga0.2Bi0.2Sn0.6,18.06
S-3675,Nb3Ga0.5Zn0.5,16.4
S-9907,Nb3Ga0.65Al0.35,18.1
S-11055,Nb3Ga0.65Sn0.35,16.3
S-4823,Nb3Ga0.65Zn0.35,16.3
S-6414,Nb3Ga0.67Al0.33,18.1
S-15827,Nb3Ga0.85Al0.15,17.1
S-7325,Nb3Ga0.8Zn0.2,16.2
S-2001,Nb3Ga0.95Ge0.05,15.35
S-2421,Nb3Ga0.9Sn0.1,16.1
S-6741,Nb3Ga0.9Zn0.1,16.1
S-13923,Nb3Sn0.9Ge0.1,17.98
S-3583,Nb3Ge0.2Pb0.2Sn0.6,17.84
S-1259,Nb3Ge0.5Ga0.5,7.3
S-15498,Nb3In0.2Sb0.2Sn0.6,16
S-10509,Nb3Os1,0.99
S-4206,Nb3P1,2
S-7960,Nb3Pb0.15Sn0.85,18.2
S-2754,Nb3Rh0.98Pd0.02,2.5
S-12206,Nb3Pd0.7Se7,2.1
S-9725,Nb3Pt1,9.82
S-10089,Nb3Rh0.02Au0.98,11.4
S-10935,Nb3Rh0.02Pt0.98,9.6
S-4382,Nb3Rh0.05Au0.95,11
S-9830,Nb3Rh0.05Pt0.95,8.9
S-3898,Nb3Rh0.1Au0.9,10.8
S-7556,Nb3Rh0.1Pt0.9,7.9
S-13566,Nb3Rh0.3Au0.7,9.5
S-7512,Nb3Rh0.3Pt0.7,7.4
S-9772,Nb3Rh0.5Au0.5,6.6
S-15530,Nb3Rh0.5Pt0.5,6.25
S-7864,Nb3Rh0.7Au0.3,4.6
S-9224,Nb3Rh0.7Os0.3,1.7
S-3587,Nb3Rh0.7Pt0.3,5.1
S-12075,Nb3Rh0.95Au0.05,2.52
S-8061,Nb3Rh0.95Co0.05,1.96
S-2193,Nb3Rh0.95Os0.05,2.39
S-2008,Nb3Rh0.95Pd0.05,2.49
S-7620,Nb3Rh0.95Pt0.05,2.53
S-15016,Nb3Rh0.95Ru0.05,2.42
S-1410,Nb3Rh0.98Au0.02,2.53
S-6470,Co0.02Nb3Rh0.98,2.28
S-8467,Nb3Rh0.98Os0.02,2.42
S-984,Nb3Pt0.02Rh0.98,2.52
S-13676,Nb3Rh0.98Ru0.02,2.42
S-9834,Nb3Rh0.9Au0.1,2.7
S-14989,Nb3Rh0.9Co0.1,1.9
S-7946,Nb3Rh0.9Os0.1,2.3
S-3294,Nb3Rh0.9Pd0.1,2.55
S-12708,Nb3Rh0.9Pt0.1,2.8
S-16040,Nb3Rh0.9Ru0.1,2.44
S-2953,Nb3Rh1,2.74
S-922,Nb0.6Rh0.4,4.15
S-9057,Nb3S4,3.81
S-9454,Nb3Sb0.15Sn0.7Tl0.15,16.04
S-1482,Nb3Sb0.1Sn0.9,17.04
S-2162,Nb3Sb1,2.2
S-14413,Nb3Se4,1.88
S-3709,Nb3Si0.06Sn0.94,17.8
S-12975,Nb3Si0.25Sn0.75,16.4
S-9436,Nb3Si0.27Sn0.73,13.9
S-11159,Nb3Si0.5Sn0.5,8.3
S-9111,Nb3Si0.6Sn0.4,6.5
S-1745,Nb3Si1Sn1V3,4
S-12874,Nb3Sn0.1Al0.9,16.1
S-5328,Nb3Sn1,17.01
S-10138,Nb3Sn0.2Al0.8,14.6
S-7289,Nb3Sn0.2Ga0.8,14.65
S-14584,Nb3Sn0.35Sb0.65,10.5
S-7790,Nb3Sn0.39Ge0.61,7.6
S-2191,Nb3Sn0.3Sb0.7,6.8
S-6673,Nb3Sn0.49Ga0.51,16.4
S-2232,Nb3Sn0.4Al0.6,13.6
S-1591,Nb3Sn0.4Ga0.6,14.6
S-11321,Nb3Sn0.4Sb0.6,12.4
S-15783,Nb3Sn0.56Ge0.44,6.8
S-1425,Nb3Sn0.5Ga0.5,16.4
S-9172,Nb3Sn0.5Sb0.5,14.4
S-3980,Nb0.75Sn0.125Zr0.125,16.63
S-3158,Nb3Sn0.61Al0.39,14.1
S-4072,Nb3Sn0.65Ga0.35,16.5
S-3162,Nb3Sn0.65Ge0.35,16.1
S-11780,Nb3Sn0.6Al0.4,15.5
S-4187,Nb3Sn0.6Ga0.4,16
S-4459,Nb3Sn0.6Sb0.4,15.8
S-9516,Nb3Sn0.73Ge0.27,8.2
S-14862,Nb3Sn0.7Al0.3,15.78
S-3541,Nb3Sn0.7Sb0.3,15.8
S-4810,Nb3Sn0.81Al0.19,14.6
S-14436,Nb3Sn0.81Ge0.19,14.3
S-11,Nb3Sn0.85Tl0.15,18.2
S-4796,Nb3Sn0.8Al0.2,16.83
S-3690,Nb3Sn0.8Ga0.2,17.4
S-6747,Nb3Sn0.8Ge0.2,17.78
S-15964,Nb3Sn0.8In0.2,17.8
S-7981,Nb3Sn0.8Sb0.2,16.5
S-7126,Nb3Sn0.91Al0.09,17.8
S-11595,Nb3Sn0.91Ga0.09,18.3
S-635,Nb3Sn0.92Al0.08,17.9
S-14962,Nb3Sn0.94Al0.06,18
S-10311,Nb3Sn0.95Ge0.05,18.1
S-4789,Nb3Sn0.96Al0.04,18
S-15086,Nb3Sn0.98Al0.02,17.9
S-4554,Nb3Sn0.9Al0.1,18.1
S-12802,Nb3Sn0.9Ga0.1,18.2
S-11397,Nb3Sn0.9In0.1,18.1
S-7917,Nb3Sn2,16.9
S-10082,Nb3Te4,1.8
S-2368,Nb3Tl0.1Sn0.9,18.25
S-11329,Nb4.4Re1,4.8
S-3737,Nb40.6Zr19.9Ta39.5,9.9
S-328,Nb41.25Ta13.75Ir45,4.35
S-13105,Nb41.25Ta13.75Rh45,4.615
S-9083,Nb46Zr36.1Ta17.9,10.3
S-1264,Nb48.15Zr42.5Ta9.35,10.4
S-11310,Nb49.8Zr24.45Mo25.75,5.3
S-9757,Nb4Co1Si1,6
S-9708,Nb4Fe1Si1,6.8
S-14073,Nb4Ni1Si1,7.7
S-5916,Nb50.2Zr39.4Mo10.4,8.8
S-14222,Nb50.35Zr44.45Mo5.2,9.9
S-5558,Nb50Ti10Zr40,10.05
S-2969,Nb50Ti25Zr25,9.7
S-6289,Nb50Ti5Zr45,10.2
S-3588,Nb50Zr25Hf25,10.1
S-1384,Nb50Zr40Hf10,10.1
S-7637,Nb50Zr45Hf5,10
S-5761,Nb55Mo25Si20,5.3
S-9758,Nb55Rh45,5.13
S-14687,Nb5Sb4,8.6
S-5081,Nb5Si2.2B0.8,6.6
S-14070,Nb5Si2.4B0.6,7.8
S-16210,Nb5Si2.6B0.4,6.4
S-5398,Nb5Si2.8B0.2,5.9
S-2514,Nb5Si2B1,6.4
S-5869,Nb5Si3,0.69
S-4526,Nb5V50Ti45,7.4
S-8486,Nb60Mo20Si20,5
S-9789,Nb6Sn5,2.43
S-16170,Nb70Mo10Si20,4.8
S-888,Nb75Ga10Al15,17.2
S-14525,Nb75Ga15Al10,18.55
S-3429,Nb3Al0.8Ga0.2,18.4
S-10648,Nb75Ga7.5Al17.5,18.7
S-6316,Nb76.3Sn10.5Ge2.3Al10.9,14.4
S-12359,Nb76.3Sn7.1Al14.3Ge2.3,13.9
S-4388,Nb76Sn2.4Al19.2Ge2.4,16
S-11795,Nb77.3Sn18.1Al2.3Ge2.3,13
S-6011,Nb77.5Sn5.6Al11.3Ge5.6,15.2
S-3517,Nb77.9Sn11.1Al5.5Ge5.5,13
S-13938,Nb77Sn13.8Al6.9Ge2.3,13.3
S-2915,Nb78.1Sn7.3Al7.3Ge7.3,12.5
S-8885,Nb78.4Sn12.9Al2.2Ge6.5,13.3
S-15698,Nb78.5Sn2.2Al12.8Ge6.5,17
S-4976,Nb78.5Sn2.2Al9.6Ge9.6,12.7
S-4214,Nb78Ga16Mn6,5.53
S-5609,Nb78Ga18Mn4,5.97
S-11169,Nb78Ga19Mn3,7.42
S-13862,Nb78Ga20Mn2,8.87
S-7118,Nb78Ga21Mn1,11.2
S-7680,Nb79.1Sn9.4Al2.1Ge9.4,8.2
S-905,Nb79.2Sn5.2Al5.2Ge10.4,10.9
S-469,Nb79.5Sn2.1Al6.1Ge12.3,9.4
S-6215,Nb79.7Sn6.1Al2Ge12.2,7.15
S-3266,Nb80.7Sn1.9Al1.9Ge15.5,7.8
S-7021,Nb80Ga13Co7,7.92
S-11447,Nb80Ga14Co6,8.1
S-15704,Nb80Ga15Co5,9.17
S-2337,Nb80Ga15Mn5,5
S-4150,Nb80Ga16Co4,9.85
S-16094,Nb80Ga16Fe4,10.3
S-6418,Nb80Ga16Mn4,6.03
S-10347,Nb80Ga17.5Cr2.5,12.5
S-7238,Nb80Ga17Co3,11
S-5438,Nb80Ga17Fe3,11.6
S-8894,Nb80Ga17Mn3,7.1
S-13429,Nb80Ga18Co2,12.2
S-2146,Nb80Ga18Fe2,13.1
S-3005,Nb80Ga18Mn2,7.79
S-7565,Nb80Ga19.4Fe0.06,16.2
S-11734,Nb80Ga19.7Fe0.03,17.3
S-9266,Nb80Ga19Co1,13.7
S-4840,Nb80Ga19Fe1,15
S-11864,Nb80Ga19Mn1,11.2
S-10162,Nb80Si16B4,4.7
S-15946,Nb80Si16C4,4.5
S-9665,Nb80Si16Ge4,4.7
S-13418,Nb80Si20,4.23
S-8155,Nb81Si19,4.35
S-5578,Nb82Si18,4.4
S-13397,Nb96.5O3.5,6.13
S-10528,Nb98.68O1.32,7.85
S-9386,Nb98O2,7.33
S-11105,Nb99.078O0.922,8.1
S-15793,Nb99.445O0.555,8.5
S-14759,Nb99.861O0.139,9.03
S-9791,Nb99.976O0.024,9.23
S-502,Nd0.1La1.7Sr0.2Cu1O4,35
S-9019,Nd0.2Sm0.8Bi1S2F0.3O0.7,5.58
S-16310,Nd0.4Ca0.6Ba0.6La0.4Cu3O6.71,78.5
S-12733,Nd0.4Ce0.6Co1In5,1.74
S-12331,Nd0.4Ce0.83Co1In5,0.74
S-11637,Nd0.4Ce0.85Co1In5,1.42
S-6472,Nd0.4Sm0.6Bi1S2F0.5O0.5,5.51
S-7843,Nd0.4Sm0.6F0.3Bi1S2O0.7,5.02
S-15376,Nd0.5Ca0.5Ba0.6La0.4Cu3O6.77,80.5
S-2313,Nd0.65La1.2Ce0.15Cu1O4,5.8
S-10284,Nd0.65Pr0.35Ba1Ca1Cu3O7,10
S-945,Nd0.6Ca0.4Ba0.6La0.4Cu3O6.83,84
S-8012,Nd0.6Sm0.4F0.3Bi1S2O0.7,5.2
S-14634,Nd0.6Sm0.4Bi1S2F0.5O0.5,5.32
S-12809,Nd0.6Sm0.4Bi1S2F0.7O0.3,4.58
S-7052,Nd0.6Sm0.4F0.3Bi1S2O0.5,5.52
S-12816,Nd0.74Gd1.11Ce0.15Cu1O4,12
S-7587,Nd0.75Pr0.25Ba1Ca1Cu3O7,26
S-11894,Nd0.75Pr0.25Ba2Cu3O6.85,9.2
S-11530,Nd0.75Pr0.25Ba2Cu3O6.96,11.7
S-11223,Nd0.7Ca0.3Ba0.6La0.4Cu3O6.79,75
S-6750,Nd0.7Pr0.3Ba1Sr1Cu3O6.87,34
S-13509,Nd0.7Pr0.3Ba2Cu3O7,5.6
S-6007,Nd0.85La1Th0.15Cu1O4,16
S-8099,Nd0.85Pr0.15Ba2Cu3O6.75,21.6
S-14596,Nd0.85Pr0.15Ba2Cu3O6.85,41.3
S-5598,Nd0.85Pr0.15Ba2Cu3O7,40.7
S-6471,Nd0.8Ba0.2Fe1As1F0.4O0.6,50.03
S-12350,Nd0.8Ca0.1Pr0.1Ba2Cu3O7.02,70.8
S-11268,Nd0.8Ca0.2Ba0.6La0.4Cu3O6.72,72
S-12611,Nd0.8Ca0.2Ba1Sr1Cu3O6.78,77
S-985,Nd0.8Pr0.2Ba2Cu3O6.75,9.8
S-13893,Nd0.8Pr0.2Ba2Cu3O6.81,50
S-7442,Nd0.8Pr0.2Ba2Cu3O6.85,30.2
S-11264,Nd0.8Pr0.2Ba2Cu3O7,31.4
S-4992,Nd0.8Sm0.2Bi1S2F0.5O0.5,5.11
S-7789,Nd0.8Sm0.2Bi1S2F0.7O0.3,4.65
S-14053,Nd0.8Sm0.2F0.3Bi1S2O0.5,5.2
S-7872,Nd0.8Sm0.2F0.3Bi1S2O0.7,4.8
S-10762,Nd0.8Sr0.2Fe1As1O1,13.5
S-15151,Nd0.8Th0.2Fe1As1O1,43
S-8511,Nd0.925Gd0.925Ce0.15Cu1O4,13
S-7446,Nd0.92Pr0.08Ba2Cu3O7,68.2
